nbre_eleves_segpa;latitude;longitude;effectifs_filles;effectifs_garcons
51;48.84647493451301;2.5805275455857823;200;187
0;49.05257095354602;6.92538983224191;200;228
31;47.95977177139836;-2.5523393198124786;105;104
0;45.688464746000854;4.872875990843281;385;374
60;49.22701661700926;4.042520099566606;279;301
0;4.842455625029976;-52.329340866552606;451;429
50;50.4584602905091;3.585310527359675;230;250
56;49.92307140960063;4.095099370679356;250;243
0;48.826222298748995;2.3058203184226214;252;228
0;43.41697231810928;5.231344038358879;359;323
55;48.89581471106791;2.332815469011771;231;237
110;47.632314175580554;6.169519556206805;261;306
0;48.630174833280144;2.5933425139085493;267;278
44;50.635453038636626;2.4006094467249137;306;366
0;43.32037096854043;5.38785964493626;136;143
0;43.70972069837187;7.279840042297537;207;276
0;43.18619491528589;2.9742500591604983;269;268
0;48.67265291675446;2.3415313443860524;168;166
63;48.79558974328478;2.380065590824601;232;281
0;48.82057696005296;2.364556476993583;204;230
0;43.196809464040086;2.765270436216811;402;390
47;46.3794007022961;5.868670532163426;249;227
0;49.32647170524783;2.464039752942275;286;307
0;48.88542864850317;2.4946793482795147;259;259
67;44.46354320618618;1.4550500739231473;279;344
0;42.923099607067826;1.842259562340841;114;124
0;45.72483630367119;4.882625384599657;316;304
54;44.565891797666836;6.082739444206575;290;296
0;46.19285076495058;6.237469534232542;547;561
0;44.85106732817064;-0.05064459442194146;234;192
64;43.69469233249835;5.508972722554812;272;299
0;48.764434998862676;2.2526124308216255;145;165
0;48.92818035945525;2.2431414753562584;300;291
0;45.72483630367119;4.882625384599657;308;322
17;3.64403238602736;-54.03408756654566;289;298
69;49.98510333789957;3.4561299688747322;216;220
94;48.51941410050584;2.6455786065829257;352;345
68;14.785477110407468;-60.99899027082465;132;147
0;49.841637398349576;1.785335489857011;117;118
49;50.3067041643579;2.794759744288523;339;412
0;48.87225317876536;2.472079193176639;303;276
0;48.543889180956334;2.623987470095781;283;288
0;47.00666934303448;3.1584886205988747;229;192
77;43.22434705240704;2.352159504668571;408;443
55;48.2965377650545;6.949055257801907;320;354
62;48.73275912469773;2.4627014018769846;291;306
0;49.49315148568526;0.1552949914614311;101;111
64;43.843305820120975;4.36424053264871;255;288
40;45.78884825806107;4.795596483244693;230;248
0;49.001690714763306;2.405627168980533;252;263
0;-12.953235561488599;45.1100960158229;345;343
0;49.544708645677595;5.790349509391255;110;106
60;48.72877575805801;4.580520187764212;203;250
0;43.64264400980377;3.817089710403796;296;309
0;48.97574185893895;2.3790837555276654;408;418
0;48.416841026274234;-4.482439921418086;241;240
0;50.38314537455736;3.582870374959155;216;248
55;48.95966122156272;2.4949343604846885;278;323
42;48.97262225484858;2.4170511837127484;330;307
0;48.999642313112716;2.147179799054651;244;238
0;48.956551804495234;2.299929228457258;328;378
0;45.53069286816266;4.92644189871169;222;221
61;14.745661281703319;-60.94992030130677;137;154
47;50.70884740732559;3.1978302784174524;299;302
75;47.73355948572547;7.294382433052226;292;325
0;45.199525118279;0.1338215970726345;91;96
0;49.786787804752535;4.716599748207943;85;100
62;47.214555238777194;-1.6136695405072288;269;267
68;50.45108347226466;2.7378298991850905;232;249
65;49.37219744674445;3.3058406117100048;251;253
0;48.653377607820595;2.391128043160554;329;298
0;49.148211697080846;6.168929956923903;183;227
